Make,Model,GC Number,kW Gross,kW Net,Net kW (+5%/-10%),Max CO2%,Min CO2%,Max Ratio,Max Co (PPM),Max (Burner Pressure Mb),Min (Burner Pressure Mb),Strip Service Required
Alpha,CB 28 X,4753217,34.00,30.63,27.6 - 32.2,N/A,N/A,N/A,N/A,11.7,2.5,Yes
Alpha,CD 28 C,4753233,31.64,28.50,25.7 - 29.9,N/A,N/A,N/A,N/A,7.55,0.52,If Ratio is greater than 0.003
Alpha,CD 28 X,4753237,31.86,28.70,25.8 - 30.1,N/A,N/A,N/A,N/A,8.83,0.24,If Ratio is greater than 0.003
Alpha,InTec 24 X,4753245,27.53,24.80,22.3 - 26.0,9.4 (+/-0.25),8.6 (+/- 0.25),0.003,200,6.48,0.17,If Ratio is greater than 0.003
Alpha,InTec 28 X,4753246,31.41,28.30,25.5 - 29.7,9.45 (+/-025),8.6 (+/-0.25),0.003,200,N/A,N/A,If Ratio is greater than 0.003
Ariston,E-Combi 30,4711663,33.30,30.00,27.0 - 31.5,9.0 (+/-0.2),9.0 (+/-0.2),0.004,100,N/A,N/A,Yes
Atag,iC 24,4731019,26.64,24.00,21.6 - 25.2,9.0 (+0.6/-0.4),Above 7.6 (must be 0.3 lower than max co2 reading),0.004,N/A,N/A,N/A,Yes
Atag,iC 28,4731021,30.30,27.30,24.6 - 28.7,9.0 (+0.6/-0.4),Above 7.6,0.004,N/A,N/A,N/A,Yes
Atag,iC 36,4731026,39.29,35.40,31.9 - 37.2,9.0 (+0.6/-0.4),Above 7.6,0.004,N/A,N/A,N/A,Yes
Atag,iC Economiser 27,4731027,31.41,28.30,25.5 - 29.7,9.0 (+0.6/-0.4),Above 7.6,0.004,N/A,N/A,N/A,Yes
Atag,iC Economiser 35,4731029,40.29,36.30,32.7 - 38.1,9.0 (+0.6/-0.4),Above 7.6,0.004,N/A,N/A,N/A,Yes
Baxi,EcoBlue 15 System ErP,4107024,20.51,18.48,16.6 - 19.4,8.7 (+/-0.2),8.4 (+/-0.2),0.004,N/A,N/A,N/A,If Ratio Is Greater Than 0.0040
Baxi,Solo 3 PFL 30,4107520,12.20,10.99,9.9 - 11.5,N/A,N/A,N/A,N/A,16.0(+/-0.5),6.4(+/-0.2),Yes
Baxi,Solo 3 PFL 40,4107521,16.26,14.65,13.2 - 15.4,N/A,N/A,N/A,N/A,16.0(+/-0.5),6.4(+/-0.2),Yes
Baxi,System 100 HE Plus,4107543,37.47,33.76,30.4 - 35.4,N/A,N/A,0.004,N/A,N/A,N/A,Yes
Baxi,Solo 30 HE ,4107544,33.76,30.41,27.4 - 31.9,9.0 (+/-1.0),N/A,0.004,N/A,N/A,N/A,Yes
Baxi,Solo 24 HE,4107545,24.50,22.07,19.9 - 23.2,9.0 (+/-1.0),N/A,0.004,N/A,N/A,N/A,Yes
Baxi,Solo 15 HE,4107546,16.88,15.20,13.7 - 16.0,9.0(+/-1.0),N/A,0.004,N/A,N/A,N/A,Yes
Baxi,Solo 12 HE,4107550,13.34,12.02,10.8 - 12.6,9.0 (+/-1.0),N/A,0.004,N/A,N/A,N/A,Yes
Baxi,Solo 18 HE,4107551,20.18,18.18,16.4 - 19.1,9.0 (+/-1.0),N/A,0.004,N/A,N/A,N/A,Yes
Baxi,Megaflo System 15 HE,4107552,17.09,15.40,13.9 - 16.2,8.7(+/-0.2),8.4(+/-0.2),0.004,N/A,N/A,N/A,Refer To M.I's
Baxi,Solo 12 HE A,4107565,13.34,12.02,10.8 - 12.6,9.0 (+/-1.0),N/A,0.004,N/A,N/A,N/A,Yes
Baxi,Solo 15 HE A,4107566,16.88,15.21,13.7 - 16.0,9.0 (+/-1.0),N/A,0.004,N/A,N/A,N/A,Yes
Baxi,Solo 18 HE A,4107567,20.18,18.18,16.4 - 19.1,9.0(+/-1.0),N/A,0.004,N/A,N/A,N/A,Yes
Baxi,Solo 24 HE A,4107568,24.50,22.07,19.9 - 23.2,9.0 (+/-1.0),N/A,0.004,N/A,N/A,N/A,Yes
Baxi,Solo 30 HE A,4107569,33.76,30.41,27.4 - 31.9,9.0 (+/-1.0),N/A,0.004,N/A,N/A,N/A,Yes
Baxi,WM 552,4107710,23.53,21.20,19.1 - 22.3,N/A,N/A,N/A,N/A,17.75,7.5,Yes
Baxi,50 HE Plus,4107741,16.88,15.21,13.7 - 16.0,9 (+/-1.0),N/A,0.004,N/A,N/A,N/A,Yes
Baxi,80 HE Plus,4107742,24.50,22.07,19.9 - 23.2,9 (+/-1.0),N/A,0.004,N/A,N/A,N/A,Yes
Baxi,Bermuda 401,4107749,17.65,15.90,14.3 - 16.7,N/A,N/A,N/A,N/A,18.2,3.2,Yes
Baxi,Solo 2 30PF ,4107771,12.20,10.99,9.9 - 11.5,N/A,N/A,N/A,N/A,16.0(+/-0.5),8.0(+/-0.5),Yes
Baxi,Solo 2 40PF,4107772,16.26,14.65,13.2 - 15.4,N/A,N/A,N/A,N/A,16.0(+/-0.5),10(+/-0.5),Yes
Baxi,Solo 2 50PF,4107773,20.34,18.32,16.5 - 19.2,N/A,N/A,N/A,N/A,16.0(+/-0.5),11.5(+/-0.5),Yes
Baxi,Bermuda 45/4 M,4407771,24.09,21.70,19.5 - 22.8,N/A,N/A,N/A,N/A,17,10.5,Yes
Baxi,Combi 80 Eco,4707505,26.30,23.69,21.3 - 24.9,N/A,N/A,N/A,N/A,12.2 (+/-0.5),2.5 (+/-0.2),Refer To M.I's
Baxi,Combi 80 E,4707506,26.30,23.69,21.3 - 24.9,N/A,N/A,N/A,N/A,12.2 (+/-0.5),2.5 (+/-0.2),Yes
Baxi,Maxflow Combi 80,4707507,32.40,29.19,26.3 - 30.6,N/A,N/A,N/A,N/A,10.6 (+/-0.5),1.9 (+/-0.2),Refer To M.I's
Baxi,Combi 105 E,4707508,34.30,30.90,27.8 - 32.4,N/A,N/A,N/A,N/A,13.4 (+/-0.5),1.8 (+/-0.2),Yes
Baxi,Combi 133 HE Plus,4707514,45.45,40.95,36.9 - 43.0,N/A,N/A,0.002,N/A,N/A,N/A,Yes
Baxi,Combi 100 HE Plus,4707515,33.70,30.36,27.3 - 31.9,N/A,N/A,0.002,N/A,N/A,N/A,Yes
Baxi,Combi 80 HE Plus,4707516,26.95,24.28,21.9 - 25.5,N/A,N/A,0.002,N/A,N/A,N/A,Yes
Baxi,Combi Instant 80 HE,4707517,27.53,24.80,22.3 - 26.0,N/A,N/A,N/A,N/A,10.2 (+/-0.5),2.0 (+/-0.2),Yes
Baxi,105 HE Combi,4707518,33.86,30.50,27.5 - 32.0,N/A,N/A,N/A,N/A,12.1(+/-0.5),2.1(+/-0.5),Yes
Baxi,Combi Instant 105 HE,4707519,33.86,30.50,27.5 - 32.0,N/A,N/A,N/A,N/A,12.1 (+/-0.5),2.1(+/-0.2),Yes
Baxi,Platinum Combi 24 HE,4707520,27.42,24.70,22.2 - 25.9,8.7 (+/-0.2),8.4 (+/-0.2),N/A,N/A,N/A,N/A,Yes
Baxi,Platinum Combi 28 HE,4707521,32.08,28.90,26.0 - 30.3,8.7 (+/-0.2),8.4 (+/-0.2),N/A,N/A,N/A,N/A,Yes
Baxi,Platinum Combi 33 HE,4707522,37.74,34.00,30.6 - 35.7,8.7 (+/-0.2),8.4 (+/-0.2),N/A,N/A,N/A,N/A,Yes
Baxi,Duo-tec Combi 24 HE,4707523,27.42,24.70,22.2 - 25.9,8.7 (+/-0.2),8.4 (+/-0.2),0.004,N/A,N/A,N/A,If Combustion Readings Are Unsatisfactory
Baxi,Duo-tec Combi 33 HE,4707524,37.74,34.00,30.6 - 35.7,8.7 (+/-0.2),8.4 (+/-0.2),0.004,N/A,N/A,N/A,If Combustion Readings Are Unsatisfactory
Baxi,Duo-tec Combi 28 HE,4707525,32.08,28.90,26.0 - 30.3,8.7 (+/-0.2),8.4 (+/-0.2),0.004,N/A,N/A,N/A,If Combustion Readings Are Unsatisfactory
Baxi,Duotec Combi 40 HE,4707526,45.73,41.20,37.1 - 43.3,8.7 (+/-0.2),8.4 (+/-0.2),N/A,N/A,N/A,N/A,If Combustion Readings Are Unsatisfactory
Baxi,Platinum Combi 24 HE A,4707531,27.42,24.70,22.2 - 25.9,8.7 (+/-0.2),8.4 (+/-0.2),0.004,N/A,N/A,N/A,If Combustion Readings Are Unsatisfactory
Baxi,Platinum Combi 28 HE A,4707532,32.08,28.90,26.0 - 30.3,8.7 (+/-0.2),8.4 (+/-0.2),0.004,N/A,N/A,N/A,If Combustion Readings Are Unsatisfactory
